CODIGO;NOMBRE;LABORATORIO;CATEGORIA;SUBCATEGORIA;PVP_AI;PVP_FARMACIA
226E1035;226ERS ISOTONIC 1000G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;26;
226E1030;226ERS ISOTONIC 1000G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;26;
226E1026;226ERS ISOTONIC 20G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;1,5;
226E1029;226ERS ISOTONIC 500G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;16,5;
226E1032;226ERS ISOTONIC 1000G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;26;
226E0394;226ERS ISOTONIC GEL;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E0393;226ERS ISOTONIC GEL LIMA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E0777;226ERS K-WEEKS CAPUCCINO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;35;
226E0784;226ERS K-WEEKS CHOCOLATE;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;35;
226E2511;226ERS NEO BAR CACAHUET;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E2528;226ERS NEO BAR FRESA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E2504;226ERS NEO BAR COCO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E6563;226ERS NITRO PRO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;3,5;
226E8327;226ERS PROTEINA WHEY CAP;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;34,9;
226E8328;226ERS PROTEINA WHEY CHOC;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;34,9;
226E8329;226ERS PROTEINA WHEY VAIN;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;34,9;
226E2269;226ERS RACE DAY BAR CHOC;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E2283;226ERS RACE DAY BAR PLAT;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,5;
226E2666;226ERS RECOVERY CHOCO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;32;
226E1101;226ERS RECOVERY CHOC 50G;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,95;
226E2665;226ERS RECOVERY VAINILLA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;32;
226E0382;226ERS SOLO COFFEE 1KG;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;24;
226E0999;226ERS SUB9 SALTS 100U;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;25;
226E1194;226ERS SUB9 PRO DUPLO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;1,8;
226E1206;226ERS VEGAN BETA ALANINA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;19,9;
226E2217;226ERS GUMMIE BAR FRESA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,2;
226E2215;226ERS GUMMIE BAR LIMA;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,2;
226E2214;226ERS GUMMIE BAR MANGO;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,2;
226E2221;226ERS GUMMIE BAR CHERRY;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;2,2;
226E2627;226ERS VEGAN VITAMIN;226ERS;NUTRICION Y DIETETICA;SUPLEMENTOS;14,5;
701736;ABILIFY MAINTENA 400MG;OTSUKA;MEDICAMENTO (FARMACIA);N/A;VARIABLE;0,00
478487;ABS PANTS DIA MED 80U;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;45;31,14
476267;ABS PANTS NOCHE GR 80U;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;52;0,00
469452;ABS PANTS NOCHE MED 80U;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;48;0,00
483404;ABS PANTS NUDE DIA GR;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;49;0,00
484899;ABS PANTS NUDE DIA MED;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;49;0,00
484972;ABS PANTS NUDE NOCH GR;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;55;0,00
485029;ABS PANTS NUDE SNOCH GR;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;58;0,00
485011;ABS PANTS NUDE SNOCH MD;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;58;0,00
469460;ABS PANTS SNOCHE GR 80U;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;58;0,00
476507;ABS ANATOMICO EXPERT;VARIOS;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;42;31,14
200599;ACCU-CHEK AVIVA 50 TIRAS;ROCHE;SALUD Y BOTIQUIN;APARATOS MEDICION;28;0,00
180647;ACNIBEN BODY 150 ML;ISDIN;DERMOCOSMETICA;CUIDADO CORPORAL;18,9;0,00
200070;ACNIBEN REPAIR GEL CR;ISDIN;DERMOCOSMETICA;CUIDADO FACIAL;14,5;23,95
ACOF7958;ACOFAR VIVERA PERLAS;ACOFARMA;HIGIENE PERSONAL;HIGIENE BUCODENTAL;2,5;
ACOF9349;ACOFAR VIVERA GEL AZAHAR;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;
102506;ACOFAR VIVERA GEL TRIPLO;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;8,9;0,00
153503;ACOFARBABY ALIMENTADOR;ACOFARMA;CUIDADO BEBE;ACCESORIOS;6,5;0,00
166270;ACOFARBABY PASTA AGUA;ACOFARMA;CUIDADO BEBE;COSMETICA INFANTIL;6,95;0,00
161766;NESIRA AMPOLLAS ANTICAIDA;ACOFARMA;DERMOCOSMETICA;CUIDADO CAPILAR;14,9;0,00
236737;NESIRA EDULCORANTE 2X500;ACOFARMA;NUTRICION Y DIETETICA;CONTROL DE PESO;7,5;0,00
166697;NESIRA EUCALIPTO HOJAS;ACOFARMA;NUTRICION Y DIETETICA;SUPLEMENTOS;3,95;3,95
200939;NESIRA GEL OLIVA/OMEGA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
200936;NESIRA GEL ALMENDRA/MIEL;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
201811;NESIRA GEL ALOE VERA 1L;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;4,5;0,00
200930;NESIRA GEL AVENA 750ML;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
200933;NESIRA GEL CERO CAMOMILA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,95;0,00
200929;NESIRA GEL COCO 750ML;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;2,95
200940;NESIRA GEL VAINILLA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
200938;NESIRA GEL ALGAS/COLAG;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
211569;NESIRA GEL ARANDANO;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
200937;NESIRA GEL GRANADA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;2,95
200932;NESIRA GEL CERO ORIG;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,95;0,00
200941;NESIRA GEL ALGODON;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
200950;NESIRA JABON MANOS OLIVA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;2,95;0,00
200952;NESIRA JABON MANOS GRANADA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;2,95;0,00
200953;NESIRA JABON ALMENDRA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;2,95;0,00
200951;NESIRA JABON ALOE VERA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;2,95;0,00
210980;NESIRA ESPUMA ARANDANO;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
210981;NESIRA ESPUMA COCO;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;3,5;0,00
198875;NESIRA JABON FLOR LOTO;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;1,95;2,95
198877;NESIRA JABON LIRIO AGUA;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;1,95;2,95
198876;NESIRA JABON ROSA CORAL;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;1,95;2,95
172104;NESIRA MELATONINA 1.95;ACOFARMA;NUTRICION Y DIETETICA;SUPLEMENTOS;9,9;11,95
150400;NESIRA SOLUCION UNICA 2X;ACOFARMA;ORTOPEDIA Y OPTICA;OPTICA;11,5;0,00
197649;NESIRA LABIAL SPF 15;ACOFARMA;DERMOCOSMETICA;CUIDADO FACIAL;1,95;3,95
198563;NESIRA LABIAL SPF 50+;ACOFARMA;DERMOCOSMETICA;CUIDADO FACIAL;3,5;4,50
184927;NESIRA SUENO 30 COMP;ACOFARMA;NUTRICION Y DIETETICA;SUPLEMENTOS;8,5;0,00
196471;NESIRA TOALLITAS OCULARES;ACOFARMA;ORTOPEDIA Y OPTICA;OPTICA;11,5;0,00
203664;VIVERA CHAMPU ACONDIC;ACOFARMA;DERMOCOSMETICA;CUIDADO CAPILAR;4,95;0,00
199108;VIVERA CR MANOS CEREZO;ACOFARMA;DERMOCOSMETICA;CUIDADO CORPORAL;1,95;0,00
200955;VIVERA JABON MANOS KIWI;ACOFARMA;HIGIENE PERSONAL;HIGIENE CORPORAL;2,95;0,00
204435;ACUMAX CAPS 30;VARIOS;NUTRICION Y DIETETICA;SUPLEMENTOS;18,9;0,00
176551;ACUOK 30 CAPSULAS;VARIOS;NUTRICION Y DIETETICA;SUPLEMENTOS;16,5;0,00
675256;ACUOLENS 0.5 ML 30 MONO;VARIOS;ORTOPEDIA Y OPTICA;OPTICA;9,9;0,00
184636;ADOMELLE 30CAP;BROMATECH;NUTRICION Y DIETETICA;SUPLEMENTOS;19,5;0,00
003335;AGUA AZAHAR TENA 500 ML;TENA;HIGIENE PERSONAL;HIGIENE CORPORAL;4,5;0,00
110283;AGUA DESTILADA 5L;ACOFARMA;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,5;0,00
195765;AGUA DESTILADA 1L;INTERAPOTHEK;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,5;0,00
195766;AGUA DESTILADA 5L;INTERAPOTHEK;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,5;6,95
184371;AGUA OXIGENADA 250ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,2;1,95
ROCH4131;AGUA TERMAL 300 ML;LA ROCHE POSAY;DERMOCOSMETICA;CUIDADO FACIAL;13,9;
032584;AGUJA 30G 1/2 1UD;ICO;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,2;0,00
379446;AGUJA ESTERIL 40X8;ICO;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,2;0,40
BD5125;AGUJAS 0.25X5 MM 100U;BD;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;18,5;
009781;AGUJAS STERICAN 100U;B. BRAUN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;12,9;0,25
330581;ALANERV 920 MG 30 CAPS;ALFASIGMA;NUTRICION Y DIETETICA;SUPLEMENTOS;24,9;0,00
163605;ALASOD 20 COMPRIMIDOS;ALFASIGMA;NUTRICION Y DIETETICA;SUPLEMENTOS;18,5;0,00
255067;ALCOHOL 70 250 ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,95;
219931;ALCOHOL 96 1000 ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;5,5;0,00
219923;ALCOHOL 96 250 ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,2;2,95
168539;ALCOHOL 96 500 ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,95;0,00
168212;ALCOHOL ROMERO 250ML;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;2,5;0,00
179714;ALFLOREX 30 CAPS;FARMASIERRA;NUTRICION Y DIETETICA;SUPLEMENTOS;26,5;36,95
211758;ALFLOREX DUAL 30 CAP;FARMASIERRA;NUTRICION Y DIETETICA;SUPLEMENTOS;29,9;0,00
483982;ALGODON ARROLL 250G;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,95;0,00
226597;ALGODON LUSAN 100 G;HARTMANN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,2;0,00
454421;ALGODON ZIGZAG 100 G;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;0,00
454413;ALGODON ZIGZAG 50 G;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,5;0,95
203716;ALIVIOLAS FISIOLAX 27C;ABOCA;NUTRICION Y DIETETICA;SUPLEMENTOS;11,5;0,00
203717;ALIVIOLAS FISIOLAX 45C;ABOCA;NUTRICION Y DIETETICA;SUPLEMENTOS;18,9;0,00
204703;ALIVIOLAS FISIOLAX 90C;ABOCA;NUTRICION Y DIETETICA;SUPLEMENTOS;29,5;0,00
168490;ALMIRON GALLETAS 250G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;4,5;0,00
194903;ALMIRON ADVANCE 1 1200G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;24,9;0,00
194858;ALMIRON ADVANCE 1 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;18,5;0,00
194859;ALMIRON ADVANCE 2 1200G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;22,9;0,00
194970;ALMIRON ADVANCE 3 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;16,5;0,00
194971;ALMIRON DIGEST 1 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;24,5;0,00
195325;ALMIRON DIGEST 2 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;24,5;0,00
195058;ALMIRON AR 1 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;25,9;0,00
206661;ALMIRON PROFUT 1 800G;NUTRICIA;NUTRICION Y DIETETICA;INFANTIL;28,5;0,00
182724;ALMOHADA ELECTRICA;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;24,9;0,00
179651;ANA L J CARBONATO 75C;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;6,5;10,95
197405;ANA L J CARBONATO POLVO;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;8,9;0,00
186374;ANA L J COLAG+MG STICKS;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;11,5;0,00
177483;ANA L J COLAG+MG 180C;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;8,95;0,00
177484;ANA L J COLAG+MG 450C;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;18,5;0,00
189319;ANA L J MAGNELSIO T5;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;9,95;0,00
186782;ANA L J TRIPTO+MELAT;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;12,5;0,00
180464;ANA L J TRIPTOFANO+MG;LAJUSTICIA;NUTRICION Y DIETETICA;SUPLEMENTOS;11,9;0,00
159972;ANDROMAS 30 SOBRES;VARIOS;NUTRICION Y DIETETICA;SUPLEMENTOS;65;0,00
196303;ANTHELIOS SPRAY INFANT;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;24,5;0,00
179254;ANTHELIOS BRUM VISAGE;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;15,9;0,00
166073;ANTHELIOS GELCR 50+;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;18,5;0,00
394817;ANTHELIOS CONTROL FLUID;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;19,9;0,00
177671;ANTHELIOS CONTROL GELCR;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;18,5;0,00
394908;ANTHELIOS CORRECT 50+;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;26,5;32,95
391755;ANTHELIOS CORRECT COLO;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;26,5;0,00
173768;ANTHELIOS CR HIDR COLOR;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;19,95;0,00
173769;ANTHELIOS DERMO PEDIAT;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;18,9;0,00
162126;ANTHELIOS FAMILY 300ML;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;26,9;0,00
192229;ANTHELIOS FLUID INVIS;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;19,5;26,95
181438;ANTHELIOS PEDIAT FLUID;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;19,5;0,00
182245;ANTHELIOS WET SKIN PED;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;24,5;0,00
151795;ANTHELIOS XL MUNE CR;LA ROCHE POSAY;DERMOCOSMETICA;PROTECCION SOLAR;21;0,00
165728;ANTIPIOX REPELENTE;VARIOS;DERMOCOSMETICA;CUIDADO CAPILAR;8,9;0,00
952770;ANTIVERRUGAS ISDIN;ISDIN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;11,5;11,85
185000;AORA DIA 30 CAPSULAS;AORA HEALTH;NUTRICION Y DIETETICA;SUPLEMENTOS;19,9;0,00
184999;AORA NOCHE 30 CAPSULAS;AORA HEALTH;NUTRICION Y DIETETICA;SUPLEMENTOS;19,9;0,00
195416;CABESTRILLO DYNAMIC;APOSAN;ORTOPEDIA Y OPTICA;ORTOPEDIA;14,5;0,00
210900;APOSAN CICATR 5X30;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;15,9;0,00
210899;APOSAN CICATR 5X7.2;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;9,5;16,95
212885;APOSAN CALENTURA 15U;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;11,9;0,00
207694;APOSAN ARO PROTECTOR;APOSAN;ORTOPEDIA Y OPTICA;ORTOPEDIA;6,5;0,00
APOS8224;APOSAN BASTON PLEGABLE;APOSAN;ORTOPEDIA Y OPTICA;ORTOPEDIA;18,9;
212872;APOSAN BOLSA AGUA 2L;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;7,5;0,00
205180;APOSAN BOLSAS L. MATER;APOSAN;CUIDADO BEBE;ACCESORIOS;9,9;0,00
212550;APOSAN ZIGZAG 100G;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;0,00
212549;APOSAN ZIGZAG 50G;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,5;0,00
026761;APOSAN SUERO FISIOL 10U;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,95;0,00
205105;APOSAN TIRAS UNICORNIO;APOSAN;CUIDADO BEBE;ACCESORIOS;3,5;0,00
203750;APOSAN PANUELOS 150U;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;1,8;0,00
FARL4344;APOSAN CALENTITO OSO;APOSAN;CUIDADO BEBE;ACCESORIOS;12,9;
030511;APOSAN CALENTITOS VACA;APOSAN;CUIDADO BEBE;ACCESORIOS;12,9;0,00
216260;APOSAN CLORHEXIDINA SP;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;5,5;
198756;APOSAN CORTADOR TRITUR;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;6,5;0,00
207888;APOSAN CUBRE ESCAYOLA;APOSAN;ORTOPEDIA Y OPTICA;ORTOPEDIA;14,9;0,00
205607;APOSAN EMPAPADOR 60X40;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;12,5;0,00
334968;APOSAN ESPARA PAPEL;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;0,00
334967;APOSAN ESPARA TELA;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;0,00
334966;APOSAN ESPARA TAPI;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;2,95
178346;APOSAN ESPARAD TAPI;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,5;0,00
178347;APOSAN ESPARAD TAPI 5X5;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,95;2,95
208489;APOSAN GUANTES LATEX L;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;7,9;0,00
208487;APOSAN GUANTES LATEX M;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;7,9;0,00
208331;APOSAN GUANTES NITRILO L;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;8,5;0,00
208329;APOSAN GUANTES NITRILO M;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;8,5;0,00
208328;APOSAN GUANTES NITRILO S;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;8,5;0,00
207671;APOSAN HIDROCOLID MED 5U;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;6,95;0,00
207669;APOSAN HIDROCOLOID SURT;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;7,2;0,00
029890;APOSAN HOME AMADERADA;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;8,9;0,00
026826;APOSAN HOME FLORAL;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;8,9;0,00
026824;APOSAN HOME FRUTAL;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;8,9;0,00
203459;JERINGA 5ML SIN AGUJA;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,4;0,00
208448;JERINGA 60ML CATETER;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,5;0,00
213216;JERINGA IRRIGACION 2U;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;3,95;0,00
186644;JERINGUILLA 2.5ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,5;0,60
186639;JERINGUILLA 1ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,4;0,00
186642;JERINGUILLA 5ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,6;0,60
186641;JERINGUILLA 10ML;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;0,8;0,00
FARL0213;MASCARILLA QUIR IIR NEGRA;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;4,5;
199613;NEBULIZADOR PORTATIL;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;55;0,00
211076;PARCHE OCULAR ADULTO 20U;APOSAN;ORTOPEDIA Y OPTICA;OPTICA;9,95;0,00
026444;PASTILLERO DIARIO 3 TOMA;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;2,95;0,00
026442;PASTILLERO DIARIO 2 TOMA;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;2,5;0,00
210405;PASTILLERO SEMANAL MAXI;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;12,9;0,00
198257;PASTILLERO SEMANAL 4 TOMA;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;9,5;0,00
FARL0186;PANUELOS MENTOL 10X10U;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;2,5;
208192;PULSIOXIMETRO DEDO;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;29,9;0,00
FARL9524;APOSAN PYMA KIT BEBE;APOSAN;CUIDADO BEBE;ACCESORIOS;18,9;
026059;REPELENTE FAMILIAR+PULS;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;9,95;0,00
214198;STICK ANTIROZADURAS 8G;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;5,5;0,00
215916;TAPON CERA CALGOD 8U;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;3,95;0,00
215923;TAPON SILICON MOLD 6U;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;5,5;0,00
215920;TAPON SILICON REUT L 2U;APOSAN;HIGIENE PERSONAL;HIGIENE CORPORAL;4,5;0,00
212800;TERMOMETRO GALIO 1U;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;6,95;0,00
198256;TERMOMETRO XL FLEXIBLE;APOSAN;SALUD Y BOTIQUIN;APARATOS MEDICION;8,5;0,00
334969;TIRAS 20 UN 1 TAM;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;1,95;0,00
343210;TIRAS 30 UN 4 TAM;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;2,95;2,95
212640;TIRAS ESPUMA 20U;APOSAN;SALUD Y BOTIQUIN;PRIMEROS AUXILIOS;4,5;0,00
