CODIGO,NOMBRE,LABORATORIO / TITULAR EN ESPAÑA,TIPO LEGAL,CATEGORIA PRINCIPAL,SUBCATEGORIA DETALLADA,ATC,PVP OFICIAL ESPAÑA (€),PRECIO MEDIO FARMACIA ONLINE ESPAÑA (€)
226E1002,226ERS HYDRAZERO DRINK LIMON 7.5GR 1 UNIDAD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1007,226ERS HYDRAZERO DRINK TROPICAL 225GR 1 UNIDAD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1003,226ERS HYDRAZERO DRINK TROPICAL 7.5GR 1 UNIDAD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1035,226ERS ISOTONIC DRINK FRUTOS ROJOS 1000G 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1030,226ERS ISOTONIC DRINK LIMON 1000G 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1026,226ERS ISOTONIC DRINK LIMON 20G 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1029,226ERS ISOTONIC DRINK LIMON 500G 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1032,226ERS ISOTONIC DRINK MANGO 1000G 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Bebidas isotónicas/energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0394,226ERS ISOTONIC GEL COLA CAFEINA 68gr 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0393,226ERS ISOTONIC GEL LIMA 68gr 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Geles energéticos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0777,226ERS K-WEEKS IMMUNE 1000GR CAPUCCINO,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Suplemento recuperación inmune,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0784,226ERS K-WEEKS IMMUNE 1000GR CHOCOLATE,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Suplemento recuperación inmune,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2511,226ERS NEO BAR 46% PROTEIN CACAHUETES & CHOCOLATE 50GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2528,226ERS NEO BAR 46% PROTEIN CHOCOLATE BLANCO & FRESA 50GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2504,226ERS NEO BAR 46% PROTEIN COCO & CHOCOLATE 50GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E6563,226ERS NITRO PRO SABOR REMOLACHA MONODOSIS 1 UD,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Suplemento rendimiento (nitratos),NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0082,226ERS PROTEINA ISOLATED CHOCOLATE 1 KG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0083,226ERS PROTEINA ISOLATED VAINILLA 1 KG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E8327,226ERS PROTEINA WHEY CAPUCCINO 1 KG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E8328,226ERS PROTEINA WHEY CHOCOLATE 1 KG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E8329,226ERS PROTEINA WHEY VAINILLA 1 KG,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Proteínas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2269,226ERS RACE DAY BAR BCCAS CHOCOLATE NEGRO 40GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Barritas/gominolas energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2283,226ERS RACE DAY BAR BCCAS PLATANO & JENGIBRE 40GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Barritas/gominolas energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2666,226ERS RECOVERY DRINK CHOCOLATE 1000GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Recuperadores musculares,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1101,226ERS RECOVERY DRINK CHOCOLATE MONODOSIS 50GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Recuperadores musculares,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2665,226ERS RECOVERY DRINK VAINILLA 1000GR,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Recuperadores musculares,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0382,226ERS SOLO COFFEE - SPECIALITY COLOMBIA MOLIDO 1000g,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Café especialidad deportiva,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0999,226ERS SUB9 SALTS ELECTROLYTES BOTE 100UDS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Sales minerales/electrolitos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E0302,226ERS SUB9 SALTS ELECTROLYTES DUPLO,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Sales minerales/electrolitos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1194,226ERS SUB9 SALTS PRO ELECTROLYTES DUPLO,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Sales minerales/electrolitos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E1206,226ERS VEGAN BETA ALANINA 90 CAPSULAS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Beta-alanina,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2217,226ERS VEGAN GUMMIE BAR 30GR PECTINA 125mg SODIO FRESA,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Barritas/gominolas energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2215,226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS LIMA,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Barritas/gominolas energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2214,226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS MANGO,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Barritas/gominolas energéticas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2221,226ERS VEGAN GUMMIE BAR 30GR PECTINA CAFEINA CHERRY COLA,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Cafeína en cápsulas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
226E2627,226ERS VEGAN VITAMIN + 60CAPS,"226ERS SPORTS THINGS, S.L.",Complemento alimenticio,Nutrición deportiva,Vitaminas deportivas,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
686580,A A S 100 MG 30 COM,Laboratorio Stada S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
700693,AAS 500 MG 20 COMPRIMIDOS,Laboratorio Stada S.L.,Medicamento marca,Cardiovascular,Antiagregante plaquetario (AAS dosis baja),N02B,PENDIENTE VERIFICACION,SEGÚN PVP
ABE02816,ABE�ULA BL PQ,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
651608,ABILIFY 10 MG 28 COMP DISP,Otsuka Pharmaceutical Netherlands B.V.,Medicamento marca,Sistema nervioso,Antipsicótico atípico,N05A,PENDIENTE VERIFICACION,SEGÚN PVP
728220,ABILIFY 15 MG 28 COMP,Otsuka Pharmaceutical Netherlands B.V.,Medicamento marca,Sistema nervioso,Antipsicótico atípico,N05A,PENDIENTE VERIFICACION,SEGÚN PVP
652738,ABILIFY 1MGML S OR 150ML,Otsuka Pharmaceutical Netherlands B.V.,Medicamento marca,Sistema nervioso,Antipsicótico atípico,N05A,PENDIENTE VERIFICACION,SEGÚN PVP
728154,ABILIFY 5 MG 28 COMP,Otsuka Pharmaceutical Netherlands B.V.,Medicamento marca,Sistema nervioso,Antipsicótico atípico,N05A,PENDIENTE VERIFICACION,SEGÚN PVP
701736,ABILIFY MAINTENA400MG 1VI+1DIS,PENDIENTE VERIFICACION,Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
738376,ABRILIA 20MG 7COM,Laboratorios Normon S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R06A,PENDIENTE VERIFICACION,SEGÚN PVP
478487,ABS PANTS DIA MEDIANO 80UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
476267,ABS PANTS NOCHE GRANDE 80UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
469452,ABS PANTS NOCHE MEDIANO 80UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
483404,ABS PANTS NUDE DIA GRD 80 UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
484899,ABS PANTS NUDE DIA MED 80 UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
484972,ABS PANTS NUDE NOCH GRD 80 UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
485029,ABS PANTS NUDE SNOCH GRD 80 UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
485011,ABS PANTS NUDE SNOCH MED 80 UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
469460,ABS PANTS SNOCHE GRANDE 80UI,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
476507,ABSORBENTE INCONTINENCIA ORINA DIA ANATOMICO ID EXPERT FORM 80 UNIDADES,PENDIENTE VERIFICACION,Producto sanitario,Incontinencia,Ropa interior absorbente,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
710266,AC ACETIL ARISTO 100MG 100COM,Aristo Pharma Iberia S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B01A,PENDIENTE VERIFICACION,SEGÚN PVP
662982,AC ALENDRONICO CINFAMED70MG4CO,Laboratorios Cinfa S.A.,Medicamento EFG,Metabolismo óseo,Bifosfonato,M05B,PENDIENTE VERIFICACION,SEGÚN PVP
661007,AC ALENDRONICO NORMON 70MG 4CO,Laboratorios Normon S.A.,Medicamento EFG,Metabolismo óseo,Bifosfonato,M05B,PENDIENTE VERIFICACION,SEGÚN PVP
683525,AC IBANDRONICO NORMON 150MG 1C,Laboratorios Normon S.A.,Medicamento EFG,Metabolismo óseo,Bifosfonato,M05B,PENDIENTE VERIFICACION,SEGÚN PVP
710437,AC TRANEXAMICO TILLOMED500MG30,Zentiva K.S.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B02A,PENDIENTE VERIFICACION,SEGÚN PVP
700725,ACALKA 1080 MG 100 COM,Ferrer Internacional S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,G04B,PENDIENTE VERIFICACION,SEGÚN PVP
200599,ACCU-CHEK AVIVA 50 TIRAS,PENDIENTE VERIFICACION,Producto sanitario,Material de inyección/diagnóstico,Tiritas/apósitos adhesivos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
663361,ACEDIUR 30 COMP,Alfasigma Espana S.L.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,C09B,PENDIENTE VERIFICACION,SEGÚN PVP
102440,ACEIT ESEN MILENRAMA 5ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
151960,ACEITE ALMEN DULC LOLES F 250M,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
003546,ACEITE HIG BACA PERLA500MG120C,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
174016,ACEITE HIPOCALORICO ORDESA 1 ENVASE 500 ml,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
650427,ACETILCISTEINA CINF 200M 30S I,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05C,PENDIENTE VERIFICACION,SEGÚN PVP
654312,ACETILCISTEINA CINF 600M 20C I,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05C,PENDIENTE VERIFICACION,SEGÚN PVP
650426,ACETILCISTEINA CINF 600M 20S I,Laboratorios Cinfa S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05C,PENDIENTE VERIFICACION,SEGÚN PVP
656303,ACETILCISTEINA PENS 200M 30C I,Towa Pharmaceutical S.A.,Medicamento EFG,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,R05C,PENDIENTE VERIFICACION,SEGÚN PVP
939579,ACFOL 5 MG 28 COMP,Italfarmaco S.A.,Medicamento marca,Hematología,Ácido fólico,B03B,PENDIENTE VERIFICACION,SEGÚN PVP
728804,ACICLOVIR BRILL PHARMA 30MGG,Brill Pharma S.L.,Medicamento marca,Antiinfeccioso,Antiviral,S01A,PENDIENTE VERIFICACION,SEGÚN PVP
729053,ACICLOVIR NORMON 200MG 25COM,Laboratorios Normon S.A.,Medicamento EFG,Antiinfeccioso,Antiviral,J05A,PENDIENTE VERIFICACION,SEGÚN PVP
729103,ACICLOVIR NORMON 50 MG CR 15 G,Laboratorios Normon S.A.,Medicamento EFG,Antiinfeccioso,Antiviral,D06B,PENDIENTE VERIFICACION,SEGÚN PVP
658914,ACICLOVIR NORMON 50MG CR 2 G,Laboratorios Normon S.A.,Medicamento EFG,Antiinfeccioso,Antiviral,D06B,PENDIENTE VERIFICACION,SEGÚN PVP
729095,ACICLOVIR NORMON 800 MG 35COM,Laboratorios Normon S.A.,Medicamento EFG,Antiinfeccioso,Antiviral,J05A,PENDIENTE VERIFICACION,SEGÚN PVP
705669,ACICLOVIR STADA 800MG 35COMP,Laboratorio Stada S.L.,Medicamento EFG,Antiinfeccioso,Antiviral,J05A,PENDIENTE VERIFICACION,SEGÚN PVP
700505,ACIDO FOLICO ASPOL 10MG 50CAP,Interpharma S.A.,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,B03B,PENDIENTE VERIFICACION,SEGÚN PVP
180647,ACNIBEN BODY 150 ML,PENDIENTE VERIFICACION,Dermocosmética,Dermocosmética,Tratamiento acné,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200070,ACNIBEN REPAIR GEL CR CALMA 40,PENDIENTE VERIFICACION,Dermocosmética,Dermocosmética,Tratamiento acné,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
327205,ACNOSAN SOLU 200 ML,PENDIENTE VERIFICACION,Medicamento marca,PENDIENTE VERIFICACION,PENDIENTE VERIFICACION,NO APLICA,PENDIENTE VERIFICACION,SEGÚN PVP
ACOF7958,ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene bucal,Refrescante bucal,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
ACOF9349,ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
102506,ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
153503,ACOFARBABY ALIMENTADOR ANTIAHOGO,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
166270,ACOFARBABY PASTA AL AGUA 1 TUBO 75 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
161766,ACOFARMA NESIRA AMPOLLAS ANTICAIDA FORTE 15 AMPOLLAS 5 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
236737,ACOFARMA NESIRA EDULCORANTE DE MESA 2 ENVASES 500 COMPRIMIDOS,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
166697,ACOFARMA NESIRA EUCALIPTO HOJAS 1 ENVASE 80 g,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Parafarmacia general,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200939,ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200936,ACOFARMA NESIRA GEL ALMENDRAS DULCES Y MIEL 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
201811,ACOFARMA NESIRA GEL ALOE VERA + VITAMINA E 1 BOTELLA 1 l,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Parafarmacia general,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200930,ACOFARMA NESIRA GEL AVENA 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200933,ACOFARMA NESIRA GEL CERO 1 ENVASE 750 ml CAMOMILA,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200929,ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200940,ACOFARMA NESIRA GEL DE VAINILLA 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200938,ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ALGAS Y COLAGENO MARINO,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
211569,ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ARANDANO AZUL,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200937,ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml EXTRACTO DE GRANADA,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200932,ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ml ORIGINAL,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200941,ACOFARMA NESIRA GEL LECHE ALGODON 1 ENVASE 750 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Gel de baño/ducha,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200950,ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Jabón de manos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200952,ACOFARMA NESIRA JABON DE MANOS EXTRACTO DE GRANADA 1 ENVASE 500 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Jabón de manos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200953,ACOFARMA NESIRA JABON MANOS ALMENDRAS DULCES Y MIEL 1 ENVASE 500 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Jabón de manos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
200951,ACOFARMA NESIRA JABON MANOS ALOE VERA 1 ENVASE 500 ml,"ACOFARMA DISTRIBUCIÓN, S.A.",Parafarmacia,Higiene,Jabón de manos,NO APLICA,NO REGULADO,PENDIENTE VERIFICACION
